Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Station04,1,2024-08-18 00:00:00,220.26,0.02,0.43,0.002,50.15,0.05
Station04,2,2024-08-18 00:01:00,226.44,0.02,0.17,0.003,49.64,0.06
Station04,3,2024-08-18 00:02:00,222.83,0.03,0.07,0.002,50.46,0.06
Station04,4,2024-08-18 00:03:00,224.88,0.05,0.39,0.001,50.29,0.0
Station04,5,2024-08-18 00:04:00,235.44,0.03,0.13,0.002,49.62,0.07
Station04,6,2024-08-18 00:05:00,231.27,0.04,0.09,0.002,49.95,0.09
Station04,7,2024-08-18 00:06:00,223.91,0.04,0.05,0.001,49.71,0.04
Station04,8,2024-08-18 00:07:00,235.66,0.02,0.27,0.002,49.79,0.07
Station04,9,2024-08-18 00:08:00,224.95,0.03,0.27,0.002,49.64,0.08
Station04,10,2024-08-18 00:09:00,236.09,0.02,0.36,0.002,50.04,0.09
Station04,11,2024-08-18 00:10:00,230.53,0.04,0.28,0.003,50.0,0.05
Station04,12,2024-08-18 00:11:00,235.72,0.04,0.04,0.003,49.64,0.02
Station04,13,2024-08-18 00:12:00,231.89,0.04,0.35,0.003,49.63,0.08
Station04,14,2024-08-18 00:13:00,226.73,0.02,0.11,0.002,50.14,0.07
Station04,15,2024-08-18 00:14:00,237.32,0.04,0.13,0.002,50.47,0.1
Station04,16,2024-08-18 00:15:00,235.92,0.04,0.33,0.002,49.96,0.01
Station04,17,2024-08-18 00:16:00,229.36,0.04,0.35,0.002,50.25,0.09
Station04,18,2024-08-18 00:17:00,227.17,0.03,0.21,0.003,49.98,0.02
Station04,19,2024-08-18 00:18:00,228.84,0.04,0.08,0.002,50.38,0.02
Station04,20,2024-08-18 00:19:00,227.77,0.04,0.15,0.002,49.68,0.02
Station04,21,2024-08-18 00:20:00,232.9,0.03,0.36,0.002,50.33,0.09
Station04,22,2024-08-18 00:21:00,239.39,0.02,0.29,0.003,49.92,0.04
Station04,23,2024-08-18 00:22:00,221.9,0.05,0.24,0.003,49.54,0.04
Station04,24,2024-08-18 00:23:00,220.97,0.03,0.46,0.001,50.15,0.05
Station04,25,2024-08-18 00:24:00,232.63,0.04,0.05,0.002,50.06,0.06
Station04,26,2024-08-18 00:25:00,223.85,0.05,0.47,0.001,50.42,0.03
Station04,27,2024-08-18 00:26:00,228.42,0.04,0.39,0.002,49.97,0.04
Station04,28,2024-08-18 00:27:00,220.62,0.02,0.27,0.002,49.64,0.01
Station04,29,2024-08-18 00:28:00,224.25,0.03,0.16,0.002,49.81,0.07
Station04,30,2024-08-18 00:29:00,225.56,0.02,0.15,0.001,49.59,0.09
Station04,31,2024-08-18 00:30:00,232.9,0.03,0.38,0.002,49.5,0.04
Station04,32,2024-08-18 00:31:00,223.26,0.03,0.21,0.002,49.76,0.03
Station04,33,2024-08-18 00:32:00,224.62,0.03,0.21,0.003,50.5,0.09
Station04,34,2024-08-18 00:33:00,235.41,0.04,0.14,0.002,49.61,0.07
Station04,35,2024-08-18 00:34:00,226.61,0.05,0.34,0.001,50.31,0.06
Station04,36,2024-08-18 00:35:00,236.63,0.03,0.42,0.002,50.28,0.06
Station04,37,2024-08-18 00:36:00,238.22,0.05,0.47,0.002,50.22,0.08
Station04,38,2024-08-18 00:37:00,237.77,0.04,0.06,0.001,49.89,0.04
Station04,39,2024-08-18 00:38:00,227.11,0.03,0.1,0.003,49.72,0.01
Station04,40,2024-08-18 00:39:00,228.48,0.04,0.04,0.002,49.9,0.0
Station04,41,2024-08-18 00:40:00,225.72,0.05,0.18,0.001,49.96,0.01
Station04,42,2024-08-18 00:41:00,222.69,0.04,0.23,0.001,50.05,0.09
Station04,43,2024-08-18 00:42:00,228.57,0.05,0.19,0.002,49.93,0.04
Station04,44,2024-08-18 00:43:00,229.85,0.02,0.47,0.003,50.14,0.03
Station04,45,2024-08-18 00:44:00,220.27,0.04,0.42,0.002,49.64,0.03
Station04,46,2024-08-18 00:45:00,231.89,0.04,0.01,0.001,49.87,0.06
Station04,47,2024-08-18 00:46:00,225.66,0.05,0.47,0.001,50.37,0.03
Station04,48,2024-08-18 00:47:00,225.22,0.04,0.28,0.003,49.55,0.02
Station04,49,2024-08-18 00:48:00,222.8,0.03,0.29,0.002,49.99,0.09
Station04,50,2024-08-18 00:49:00,227.99,0.04,0.33,0.002,50.5,0.05
Station04,51,2024-08-18 00:50:00,239.43,0.04,0.32,0.001,49.9,0.05
Station04,52,2024-08-18 00:51:00,239.09,0.04,0.46,0.001,50.31,0.01
Station04,53,2024-08-18 00:52:00,229.03,0.05,0.18,0.003,49.65,0.05
Station04,54,2024-08-18 00:53:00,221.73,0.03,0.46,0.003,49.75,0.05
Station04,55,2024-08-18 00:54:00,223.77,0.05,0.21,0.002,49.86,0.08
Station04,56,2024-08-18 00:55:00,237.56,0.03,0.37,0.001,50.04,0.05
Station04,57,2024-08-18 00:56:00,223.3,0.04,0.02,0.001,49.97,0.06
Station04,58,2024-08-18 00:57:00,237.15,0.05,0.22,0.002,50.06,0.03
Station04,59,2024-08-18 00:58:00,231.32,0.03,0.15,0.001,50.43,0.02
Station04,60,2024-08-18 00:59:00,237.87,0.05,0.08,0.003,49.53,0.02
Station04,61,2024-08-18 01:00:00,232.88,0.04,0.11,0.002,49.64,0.05
Station04,62,2024-08-18 01:01:00,235.73,0.04,0.09,0.002,49.97,0.07
Station04,63,2024-08-18 01:02:00,236.46,0.03,0.1,0.001,49.94,0.07
Station04,64,2024-08-18 01:03:00,229.63,0.03,0.31,0.001,50.27,0.07
Station04,65,2024-08-18 01:04:00,235.39,0.04,0.49,0.002,49.55,0.02
Station04,66,2024-08-18 01:05:00,229.84,0.03,0.05,0.001,50.4,0.03
Station04,67,2024-08-18 01:06:00,234.43,0.02,0.37,0.002,50.07,0.03
Station04,68,2024-08-18 01:07:00,220.52,0.02,0.21,0.001,49.92,0.08
Station04,69,2024-08-18 01:08:00,223.95,0.05,0.31,0.003,50.42,0.02
Station04,70,2024-08-18 01:09:00,226.68,0.03,0.22,0.001,50.22,0.08
Station04,71,2024-08-18 01:10:00,231.57,0.04,0.5,0.002,49.5,0.1
Station04,72,2024-08-18 01:11:00,225.71,0.04,0.05,0.001,50.46,0.08
Station04,73,2024-08-18 01:12:00,233.1,0.05,0.34,0.001,49.6,0.07
Station04,74,2024-08-18 01:13:00,227.38,0.02,0.34,0.003,49.9,0.04
Station04,75,2024-08-18 01:14:00,221.61,0.05,0.02,0.001,49.82,0.02
Station04,76,2024-08-18 01:15:00,220.04,0.02,0.03,0.002,50.48,0.03
Station04,77,2024-08-18 01:16:00,221.72,0.03,0.21,0.001,50.08,0.05
Station04,78,2024-08-18 01:17:00,223.23,0.04,0.05,0.002,49.53,0.05
Station04,79,2024-08-18 01:18:00,224.09,0.03,0.41,0.002,50.21,0.02
Station04,80,2024-08-18 01:19:00,228.97,0.03,0.15,0.002,50.46,0.06
Station04,81,2024-08-18 01:20:00,230.54,0.04,0.33,0.003,49.79,0.08
Station04,82,2024-08-18 01:21:00,230.62,0.04,0.06,0.001,50.47,0.05
Station04,83,2024-08-18 01:22:00,233.83,0.04,0.22,0.002,50.26,0.09
Station04,84,2024-08-18 01:23:00,239.53,0.02,0.2,0.001,49.68,0.01
Station04,85,2024-08-18 01:24:00,239.61,0.02,0.23,0.002,49.82,0.06
Station04,86,2024-08-18 01:25:00,227.33,0.04,0.49,0.002,49.68,0.07
Station04,87,2024-08-18 01:26:00,229.05,0.04,0.33,0.003,49.51,0.01
Station04,88,2024-08-18 01:27:00,229.12,0.04,0.12,0.002,49.81,0.09
Station04,89,2024-08-18 01:28:00,229.35,0.04,0.41,0.002,50.2,0.08
Station04,90,2024-08-18 01:29:00,228.8,0.05,0.5,0.002,50.46,0.01
Station04,91,2024-08-18 01:30:00,223.94,0.02,0.18,0.003,50.09,0.08
Station04,92,2024-08-18 01:31:00,222.38,0.03,0.0,0.001,50.0,0.04
Station04,93,2024-08-18 01:32:00,225.95,0.04,0.04,0.003,50.48,0.02
Station04,94,2024-08-18 01:33:00,233.14,0.04,0.14,0.002,49.86,0.07
Station04,95,2024-08-18 01:34:00,235.12,0.04,0.47,0.002,50.12,0.03
Station04,96,2024-08-18 01:35:00,221.03,0.03,0.18,0.001,50.18,0.04
Station04,97,2024-08-18 01:36:00,233.32,0.03,0.36,0.002,50.41,0.06
Station04,98,2024-08-18 01:37:00,220.68,0.05,0.31,0.002,49.7,0.0
Station04,99,2024-08-18 01:38:00,233.46,0.03,0.14,0.003,50.07,0.02
Station04,100,2024-08-18 01:39:00,239.19,0.03,0.32,0.002,50.31,0.02
Station04,101,2024-08-18 01:40:00,239.2,0.04,0.01,0.002,49.68,0.08
Station04,102,2024-08-18 01:41:00,223.97,0.04,0.06,0.003,50.25,0.08
Station04,103,2024-08-18 01:42:00,223.41,0.04,0.45,0.001,49.86,0.05
Station04,104,2024-08-18 01:43:00,221.51,0.03,0.25,0.003,50.33,0.03
Station04,105,2024-08-18 01:44:00,224.36,0.05,0.23,0.002,49.69,0.01
Station04,106,2024-08-18 01:45:00,239.69,0.04,0.12,0.003,49.94,0.03
Station04,107,2024-08-18 01:46:00,232.56,0.04,0.11,0.001,50.33,0.02
Station04,108,2024-08-18 01:47:00,220.36,0.04,0.17,0.002,50.29,0.07
Station04,109,2024-08-18 01:48:00,236.72,0.03,0.24,0.002,50.22,0.02
Station04,110,2024-08-18 01:49:00,227.29,0.04,0.34,0.002,49.94,0.1
Station04,111,2024-08-18 01:50:00,237.44,0.04,0.14,0.002,50.31,0.01
Station04,112,2024-08-18 01:51:00,224.15,0.03,0.06,0.001,49.68,0.06
Station04,113,2024-08-18 01:52:00,222.81,0.02,0.18,0.003,49.71,0.04
Station04,114,2024-08-18 01:53:00,230.35,0.03,0.44,0.002,50.06,0.09
Station04,115,2024-08-18 01:54:00,238.55,0.04,0.07,0.002,49.99,0.1
Station04,116,2024-08-18 01:55:00,235.18,0.04,0.12,0.002,50.26,0.01
Station04,117,2024-08-18 01:56:00,238.62,0.02,0.31,0.003,49.55,0.08
Station04,118,2024-08-18 01:57:00,225.82,0.04,0.13,0.002,50.07,0.07
Station04,119,2024-08-18 01:58:00,231.42,0.04,0.36,0.002,50.34,0.06
Station04,120,2024-08-18 01:59:00,232.25,0.02,0.43,0.001,50.45,0.03
Station04,121,2024-08-18 02:00:00,237.21,0.04,0.05,0.002,49.66,0.04
Station04,122,2024-08-18 02:01:00,228.44,0.04,0.11,0.002,50.08,0.06
Station04,123,2024-08-18 02:02:00,239.11,0.02,0.03,0.002,50.35,0.02
Station04,124,2024-08-18 02:03:00,235.35,0.03,0.1,0.002,49.5,0.09
Station04,125,2024-08-18 02:04:00,229.5,0.04,0.49,0.001,50.17,0.01
Station04,126,2024-08-18 02:05:00,221.61,0.04,0.37,0.002,50.16,0.08
Station04,127,2024-08-18 02:06:00,234.24,0.04,0.41,0.002,50.02,0.01
Station04,128,2024-08-18 02:07:00,220.5,0.03,0.46,0.002,50.11,0.04
Station04,129,2024-08-18 02:08:00,232.32,0.05,0.33,0.001,49.98,0.01
Station04,130,2024-08-18 02:09:00,228.27,0.04,0.28,0.002,50.48,0.09
Station04,131,2024-08-18 02:10:00,236.53,0.02,0.49,0.003,49.7,0.01
Station04,132,2024-08-18 02:11:00,230.89,0.03,0.11,0.002,50.21,0.06
Station04,133,2024-08-18 02:12:00,234.8,0.04,0.45,0.002,49.65,0.04
Station04,134,2024-08-18 02:13:00,223.47,0.03,0.43,0.003,50.1,0.07
Station04,135,2024-08-18 02:14:00,232.62,0.04,0.3,0.002,49.65,0.09
Station04,136,2024-08-18 02:15:00,236.79,0.04,0.32,0.002,49.77,0.02
Station04,137,2024-08-18 02:16:00,237.01,0.03,0.45,0.002,50.43,0.04
Station04,138,2024-08-18 02:17:00,229.76,0.04,0.1,0.002,50.23,0.03
Station04,139,2024-08-18 02:18:00,227.05,0.02,0.17,0.003,49.52,0.09
Station04,140,2024-08-18 02:19:00,236.67,0.05,0.12,0.001,49.93,0.04
Station04,141,2024-08-18 02:20:00,228.25,0.02,0.31,0.001,50.16,0.07
Station04,142,2024-08-18 02:21:00,221.05,0.03,0.13,0.002,50.02,0.03
Station04,143,2024-08-18 02:22:00,235.36,0.02,0.25,0.002,49.51,0.04
Station04,144,2024-08-18 02:23:00,230.01,0.02,0.04,0.003,49.96,0.08
Station04,145,2024-08-18 02:24:00,234.8,0.04,0.43,0.002,50.13,0.06
Station04,146,2024-08-18 02:25:00,236.36,0.03,0.45,0.002,49.65,0.04
Station04,147,2024-08-18 02:26:00,220.85,0.03,0.11,0.002,49.91,0.01
