Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Station04,1,2024-08-19 00:00:00,224.41,0.05,0.11,0.003,49.83,0.03
Station04,2,2024-08-19 00:01:00,231.52,0.03,0.15,0.003,49.9,0.06
Station04,3,2024-08-19 00:02:00,231.86,0.04,0.29,0.003,49.57,0.01
Station04,4,2024-08-19 00:03:00,228.56,0.04,0.01,0.002,50.42,0.0
Station04,5,2024-08-19 00:04:00,232.71,0.03,0.47,0.003,50.34,0.1
Station04,6,2024-08-19 00:05:00,224.88,0.04,0.29,0.002,50.48,0.04
Station04,7,2024-08-19 00:06:00,231.19,0.03,0.42,0.001,49.71,0.03
Station04,8,2024-08-19 00:07:00,220.87,0.05,0.12,0.002,50.41,0.04
Station04,9,2024-08-19 00:08:00,233.36,0.03,0.41,0.003,49.76,0.04
Station04,10,2024-08-19 00:09:00,230.29,0.04,0.23,0.001,50.29,0.09
Station04,11,2024-08-19 00:10:00,232.28,0.05,0.39,0.001,49.51,0.07
Station04,12,2024-08-19 00:11:00,220.7,0.03,0.35,0.003,49.76,0.09
Station04,13,2024-08-19 00:12:00,224.89,0.04,0.22,0.002,49.72,0.07
Station04,14,2024-08-19 00:13:00,230.25,0.04,0.18,0.001,49.79,0.0
Station04,15,2024-08-19 00:14:00,225.66,0.04,0.34,0.002,49.79,0.03
Station04,16,2024-08-19 00:15:00,236.15,0.03,0.42,0.002,49.76,0.03
Station04,17,2024-08-19 00:16:00,238.63,0.04,0.36,0.002,49.82,0.05
Station04,18,2024-08-19 00:17:00,235.53,0.03,0.37,0.002,50.42,0.02
Station04,19,2024-08-19 00:18:00,230.4,0.03,0.49,0.003,49.68,0.01
Station04,20,2024-08-19 00:19:00,228.88,0.03,0.44,0.002,49.7,0.05
Station04,21,2024-08-19 00:20:00,231.33,0.04,0.38,0.003,50.21,0.03
Station04,22,2024-08-19 00:21:00,224.25,0.04,0.44,0.001,50.18,0.04
Station04,23,2024-08-19 00:22:00,238.49,0.03,0.1,0.001,50.48,0.08
