Process_ID,ID,Timestamp,Voltage,Current,Power,Energy,Frequency,PF
Station04,1,2024-08-21 00:00:00,237.59,0.04,0.21,0.003,49.62,0.04
Station04,2,2024-08-21 00:01:00,220.9,0.05,0.39,0.001,49.51,0.05
Station04,3,2024-08-21 00:02:00,226.39,0.05,0.28,0.002,50.46,0.01
Station04,4,2024-08-21 00:03:00,233.43,0.03,0.27,0.001,50.3,0.03
Station04,5,2024-08-21 00:04:00,221.41,0.02,0.2,0.001,50.19,0.04
Station04,6,2024-08-21 00:05:00,231.79,0.05,0.37,0.003,49.5,0.02
Station04,7,2024-08-21 00:06:00,239.52,0.03,0.19,0.001,50.16,0.08
Station04,8,2024-08-21 00:07:00,225.68,0.03,0.35,0.002,49.64,0.03
Station04,9,2024-08-21 00:08:00,220.64,0.03,0.1,0.001,49.98,0.07
Station04,10,2024-08-21 00:09:00,231.2,0.02,0.26,0.003,50.41,0.02
Station04,11,2024-08-21 00:10:00,232.55,0.05,0.27,0.002,50.26,0.1
Station04,12,2024-08-21 00:11:00,230.52,0.02,0.1,0.003,50.3,0.01
Station04,13,2024-08-21 00:12:00,233.9,0.03,0.19,0.002,49.7,0.09
Station04,14,2024-08-21 00:13:00,238.71,0.04,0.46,0.001,50.31,0.04
Station04,15,2024-08-21 00:14:00,230.15,0.04,0.12,0.003,50.27,0.04
Station04,16,2024-08-21 00:15:00,223.02,0.04,0.2,0.002,50.25,0.06
Station04,17,2024-08-21 00:16:00,239.31,0.03,0.17,0.003,49.93,0.08
Station04,18,2024-08-21 00:17:00,221.12,0.02,0.25,0.003,49.98,0.09
Station04,19,2024-08-21 00:18:00,226.48,0.02,0.43,0.002,50.39,0.06
Station04,20,2024-08-21 00:19:00,238.02,0.03,0.33,0.002,49.68,0.05
Station04,21,2024-08-21 00:20:00,235.12,0.02,0.3,0.001,49.52,0.08
Station04,22,2024-08-21 00:21:00,226.64,0.04,0.23,0.002,49.71,0.04
Station04,23,2024-08-21 00:22:00,226.93,0.02,0.2,0.003,50.17,0.07
Station04,24,2024-08-21 00:23:00,223.24,0.04,0.19,0.001,49.91,0.01
Station04,25,2024-08-21 00:24:00,234.51,0.04,0.36,0.003,49.68,0.07
Station04,26,2024-08-21 00:25:00,223.38,0.05,0.39,0.003,50.43,0.02
Station04,27,2024-08-21 00:26:00,225.4,0.05,0.26,0.003,50.38,0.02
Station04,28,2024-08-21 00:27:00,232.8,0.02,0.32,0.003,49.95,0.01
